I am  nid00690 rank 0 (total 192)
total of 1545 tasks
3411m010
  Slave nid00690 rank 1 executing "3411m010" task_id "415"
3441p017
  Slave nid00690 rank 1 executing "3441p017" task_id "606"
3473p010
  Slave nid00690 rank 1 executing "3473p010" task_id "797"
3506p000
  Slave nid00690 rank 1 executing "3506p000" task_id "988"
3538m010
  Slave nid00690 rank 1 executing "3538m010" task_id "1179"
3568p017
  Slave nid00690 rank 1 executing "3568p017" task_id "1370"
Task completed (rank 1)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:486: RuntimeWarning: invalid value encountered in subtract
  gr = g - r_mag
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:487: RuntimeWarning: invalid value encountered in subtract
  rz = r_mag - z_mag
I am  nid00691 rank 41 (total 192)
3353m007
  Slave nid00691 rank 41 executing "3353m007" task_id "73"
3386m007
  Slave nid00691 rank 41 executing "3386m007" task_id "264"
3416p015
  Slave nid00691 rank 41 executing "3416p015" task_id "455"
3448p007
  Slave nid00691 rank 41 executing "3448p007" task_id "646"
3481m017
  Slave nid00691 rank 41 executing "3481m017" task_id "837"
3513m007
  Slave nid00691 rank 41 executing "3513m007" task_id "1028"
3543p015
  Slave nid00691 rank 41 executing "3543p015" task_id "1219"
3576p005
  Slave nid00691 rank 41 executing "3576p005" task_id "1410"
Task completed (rank 41)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:483: RuntimeWarning: invalid value encountered in log10
  g     = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,1] / tractor['decam_mw_transmission'][:,1])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: invalid value encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:485: RuntimeWarning: invalid value encountered in log10
  z_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,4] / tractor['decam_mw_transmission'][:,4])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:488: RuntimeWarning: invalid value encountered in greater
I am  nid00694 rank 137 (total 192)
3368p007
  Slave nid00694 rank 137 executing "3368p007" task_id "169"
3401p002
  Slave nid00694 rank 137 executing "3401p002" task_id "360"
3433m012
  Slave nid00694 rank 137 executing "3433m012" task_id "551"
3466m005
  Slave nid00694 rank 137 executing "3466m005" task_id "742"
3496p012
  Slave nid00694 rank 137 executing "3496p012" task_id "933"
3528p002
  Slave nid00694 rank 137 executing "3528p002" task_id "1124"
3561m012
  Slave nid00694 rank 137 executing "3561m012" task_id "1315"
3593m002
  Slave nid00694 rank 137 executing "3593m002" task_id "1506"
Task completed (rank 137)
  color_ngc = (g>21.0)&(g<23.2)  &(-0.068*rz+0.457<gr+0.3)&(gr-0.2< 0.112*rz+0.773) &(0.637*gr+0.399<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:483: RuntimeWarning: divide by zero encountered in log10
  g     = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,1] / tractor['decam_mw_transmission'][:,1])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: divide by zero encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:485: RuntimeWarning: divide by zero encountered in log10
  z_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,4] / tractor['decam_mw_transmission'][:,4])
I am  nid00692 rank 70 (total 192)
3358m010
  Slave nid00692 rank 70 executing "3358m010" task_id "102"
3391m005
  Slave nid00692 rank 70 executing "3391m005" task_id "293"
3421p012
  Slave nid00692 rank 70 executing "3421p012" task_id "484"
3453p005
  Slave nid00692 rank 70 executing "3453p005" task_id "675"
3486m015
  Slave nid00692 rank 70 executing "3486m015" task_id "866"
3518m005
  Slave nid00692 rank 70 executing "3518m005" task_id "1057"
3548p012
  Slave nid00692 rank 70 executing "3548p012" task_id "1248"
3581p002
  Slave nid00692 rank 70 executing "3581p002" task_id "1439"
Task completed (rank 70)
  color_sgc = (g>21.0)&(g<23.2)&(-0.068*rz+0.457<gr+0.3)&(0.112*rz+0.773>gr-0.2) &(0.218*gr+0.571<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:488: RuntimeWarning: invalid value encountered in less
  color_sgc = (g>21.0)&(g<23.2)&(-0.068*rz+0.457<gr+0.3)&(0.112*rz+0.773>gr-0.2) &(0.218*gr+0.571<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:489: RuntimeWarning: invalid value encountered in greater
  color_ngc = (g>21.0)&(g<23.2)  &(-0.068*rz+0.457<gr+0.3)&(gr-0.2< 0.112*rz+0.773) &(0.637*gr+0.399<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:489: RuntimeWarning: invalid value encountered in less
I am  nid00695 rank 169 (total 192)
3373p017
  Slave nid00695 rank 169 executing "3373p017" task_id "201"
3406p007
  Slave nid00695 rank 169 executing "3406p007" task_id "392"
3438m017
  Slave nid00695 rank 169 executing "3438m017" task_id "583"
3471m010
  Slave nid00695 rank 169 executing "3471m010" task_id "774"
3501p017
  Slave nid00695 rank 169 executing "3501p017" task_id "965"
3533p007
  Slave nid00695 rank 169 executing "3533p007" task_id "1156"
3566m017
  Slave nid00695 rank 169 executing "3566m017" task_id "1347"
3598p002
  Slave nid00695 rank 169 executing "3598p002" task_id "1538"
Task completed (rank 169)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:483: RuntimeWarning: invalid value encountered in log10
  g     = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,1] / tractor['decam_mw_transmission'][:,1])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: invalid value encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:485: RuntimeWarning: invalid value encountered in log10
  z_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,4] / tractor['decam_mw_transmission'][:,4])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:488: RuntimeWarning: invalid value encountered in greater
I am  nid00693 rank 105 (total 192)
3346p010
  Slave nid00693 rank 105 executing "3346p010" task_id "37"
3363p002
  Slave nid00693 rank 105 executing "3363p002" task_id "137"
3396m017
  Slave nid00693 rank 105 executing "3396m017" task_id "328"
3428m007
  Slave nid00693 rank 105 executing "3428m007" task_id "519"
3458p017
  Slave nid00693 rank 105 executing "3458p017" task_id "710"
3491p007
  Slave nid00693 rank 105 executing "3491p007" task_id "901"
3523m017
  Slave nid00693 rank 105 executing "3523m017" task_id "1092"
3556m007
  Slave nid00693 rank 105 executing "3556m007" task_id "1283"
3586p015
  Slave nid00693 rank 105 executing "3586p015" task_id "1474"
Task completed (rank 105)
  color_ngc = (g>21.0)&(g<23.2)  &(-0.068*rz+0.457<gr+0.3)&(gr-0.2< 0.112*rz+0.773) &(0.637*gr+0.399<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:483: RuntimeWarning: divide by zero encountered in log10
  g     = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,1] / tractor['decam_mw_transmission'][:,1])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: divide by zero encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:486: RuntimeWarning: invalid value encountered in subtract
  gr = g - r_mag
I am  nid00690 rank 2 (total 192)
3343p007
  Slave nid00690 rank 2 executing "3343p007" task_id "21"
3378p002
  Slave nid00690 rank 2 executing "3378p002" task_id "225"
3411m012
  Slave nid00690 rank 2 executing "3411m012" task_id "416"
3443m002
  Slave nid00690 rank 2 executing "3443m002" task_id "607"
3473p012
  Slave nid00690 rank 2 executing "3473p012" task_id "798"
3506p002
  Slave nid00690 rank 2 executing "3506p002" task_id "989"
3538m012
  Slave nid00690 rank 2 executing "3538m012" task_id "1180"
3571m002
  Slave nid00690 rank 2 executing "3571m002" task_id "1371"
Task completed (rank 2)
  color_sgc = (g>21.0)&(g<23.2)&(-0.068*rz+0.457<gr+0.3)&(0.112*rz+0.773>gr-0.2) &(0.218*gr+0.571<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:488: RuntimeWarning: invalid value encountered in less
  color_sgc = (g>21.0)&(g<23.2)&(-0.068*rz+0.457<gr+0.3)&(0.112*rz+0.773>gr-0.2) &(0.218*gr+0.571<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:489: RuntimeWarning: invalid value encountered in greater
  color_ngc = (g>21.0)&(g<23.2)  &(-0.068*rz+0.457<gr+0.3)&(gr-0.2< 0.112*rz+0.773) &(0.637*gr+0.399<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:489: RuntimeWarning: invalid value encountered in less
I am  nid00694 rank 138 (total 192)
3368p010
  Slave nid00694 rank 138 executing "3368p010" task_id "170"
3401p005
  Slave nid00694 rank 138 executing "3401p005" task_id "361"
3433m015
  Slave nid00694 rank 138 executing "3433m015" task_id "552"
3466m007
  Slave nid00694 rank 138 executing "3466m007" task_id "743"
3496p015
  Slave nid00694 rank 138 executing "3496p015" task_id "934"
3528p005
  Slave nid00694 rank 138 executing "3528p005" task_id "1125"
3561m015
  Slave nid00694 rank 138 executing "3561m015" task_id "1316"
3593m005
  Slave nid00694 rank 138 executing "3593m005" task_id "1507"
Task completed (rank 138)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:486: RuntimeWarning: invalid value encountered in subtract
  gr = g - r_mag
I am  nid00692 rank 71 (total 192)
3358m012
  Slave nid00692 rank 71 executing "3358m012" task_id "103"
3391m007
  Slave nid00692 rank 71 executing "3391m007" task_id "294"
3421p015
  Slave nid00692 rank 71 executing "3421p015" task_id "485"
3453p007
  Slave nid00692 rank 71 executing "3453p007" task_id "676"
3486m017
  Slave nid00692 rank 71 executing "3486m017" task_id "867"
3518m007
  Slave nid00692 rank 71 executing "3518m007" task_id "1058"
3548p015
  Slave nid00692 rank 71 executing "3548p015" task_id "1249"
3581p005
  Slave nid00692 rank 71 executing "3581p005" task_id "1440"
Task completed (rank 71)
  color_ngc = (g>21.0)&(g<23.2)  &(-0.068*rz+0.457<gr+0.3)&(gr-0.2< 0.112*rz+0.773) &(0.637*gr+0.399<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: divide by zero encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
I am  nid00691 rank 42 (total 192)
3353m010
  Slave nid00691 rank 42 executing "3353m010" task_id "74"
3386m010
  Slave nid00691 rank 42 executing "3386m010" task_id "265"
3416p017
  Slave nid00691 rank 42 executing "3416p017" task_id "456"
3448p010
  Slave nid00691 rank 42 executing "3448p010" task_id "647"
3481p000
  Slave nid00691 rank 42 executing "3481p000" task_id "838"
3513m010
  Slave nid00691 rank 42 executing "3513m010" task_id "1029"
3543p017
  Slave nid00691 rank 42 executing "3543p017" task_id "1220"
3576p007
  Slave nid00691 rank 42 executing "3576p007" task_id "1411"
Task completed (rank 42)
  color_sgc = (g>21.0)&(g<23.2)&(-0.068*rz+0.457<gr+0.3)&(0.112*rz+0.773>gr-0.2) &(0.218*gr+0.571<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:488: RuntimeWarning: invalid value encountered in less
  color_sgc = (g>21.0)&(g<23.2)&(-0.068*rz+0.457<gr+0.3)&(0.112*rz+0.773>gr-0.2) &(0.218*gr+0.571<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:489: RuntimeWarning: invalid value encountered in greater
  color_ngc = (g>21.0)&(g<23.2)  &(-0.068*rz+0.457<gr+0.3)&(gr-0.2< 0.112*rz+0.773) &(0.637*gr+0.399<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:489: RuntimeWarning: invalid value encountered in less
I am  nid00692 rank 72 (total 192)
3358m015
  Slave nid00692 rank 72 executing "3358m015" task_id "104"
3391m010
  Slave nid00692 rank 72 executing "3391m010" task_id "295"
3421p017
  Slave nid00692 rank 72 executing "3421p017" task_id "486"
3453p010
  Slave nid00692 rank 72 executing "3453p010" task_id "677"
3486p000
  Slave nid00692 rank 72 executing "3486p000" task_id "868"
3518m010
  Slave nid00692 rank 72 executing "3518m010" task_id "1059"
3548p017
  Slave nid00692 rank 72 executing "3548p017" task_id "1250"
3581p007
  Slave nid00692 rank 72 executing "3581p007" task_id "1441"
Task completed (rank 72)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:483: RuntimeWarning: invalid value encountered in log10
  g     = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,1] / tractor['decam_mw_transmission'][:,1])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: invalid value encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:485: RuntimeWarning: invalid value encountered in log10
  z_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,4] / tractor['decam_mw_transmission'][:,4])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:488: RuntimeWarning: invalid value encountered in greater
I am  nid00695 rank 170 (total 192)
3376m002
  Slave nid00695 rank 170 executing "3376m002" task_id "202"
3406p010
  Slave nid00695 rank 170 executing "3406p010" task_id "393"
3438p000
  Slave nid00695 rank 170 executing "3438p000" task_id "584"
3471m012
  Slave nid00695 rank 170 executing "3471m012" task_id "775"
3503m002
  Slave nid00695 rank 170 executing "3503m002" task_id "966"
3533p010
  Slave nid00695 rank 170 executing "3533p010" task_id "1157"
3566p000
  Slave nid00695 rank 170 executing "3566p000" task_id "1348"
3598p005
  Slave nid00695 rank 170 executing "3598p005" task_id "1539"
Task completed (rank 170)
  color_ngc = (g>21.0)&(g<23.2)  &(-0.068*rz+0.457<gr+0.3)&(gr-0.2< 0.112*rz+0.773) &(0.637*gr+0.399<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:483: RuntimeWarning: divide by zero encountered in log10
  g     = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,1] / tractor['decam_mw_transmission'][:,1])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: divide by zero encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:485: RuntimeWarning: divide by zero encountered in log10
  z_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,4] / tractor['decam_mw_transmission'][:,4])
I am  nid00690 rank 3 (total 192)
3343p010
  Slave nid00690 rank 3 executing "3343p010" task_id "22"
3378p005
  Slave nid00690 rank 3 executing "3378p005" task_id "226"
3411m015
  Slave nid00690 rank 3 executing "3411m015" task_id "417"
3443m005
  Slave nid00690 rank 3 executing "3443m005" task_id "608"
3473p015
  Slave nid00690 rank 3 executing "3473p015" task_id "799"
3506p005
  Slave nid00690 rank 3 executing "3506p005" task_id "990"
3538m015
  Slave nid00690 rank 3 executing "3538m015" task_id "1181"
3571m005
  Slave nid00690 rank 3 executing "3571m005" task_id "1372"
Task completed (rank 3)
  color_ngc = (g>21.0)&(g<23.2)  &(-0.068*rz+0.457<gr+0.3)&(gr-0.2< 0.112*rz+0.773) &(0.637*gr+0.399<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: divide by zero encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:485: RuntimeWarning: divide by zero encountered in log10
  z_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,4] / tractor['decam_mw_transmission'][:,4])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:483: RuntimeWarning: divide by zero encountered in log10
  g     = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,1] / tractor['decam_mw_transmission'][:,1])
I am  nid00694 rank 139 (total 192)
3368p012
  Slave nid00694 rank 139 executing "3368p012" task_id "171"
3401p007
  Slave nid00694 rank 139 executing "3401p007" task_id "362"
3433m017
  Slave nid00694 rank 139 executing "3433m017" task_id "553"
3466m010
  Slave nid00694 rank 139 executing "3466m010" task_id "744"
3496p017
  Slave nid00694 rank 139 executing "3496p017" task_id "935"
3528p007
  Slave nid00694 rank 139 executing "3528p007" task_id "1126"
3561m017
  Slave nid00694 rank 139 executing "3561m017" task_id "1317"
3593m007
  Slave nid00694 rank 139 executing "3593m007" task_id "1508"
Task completed (rank 139)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:483: RuntimeWarning: invalid value encountered in log10
  g     = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,1] / tractor['decam_mw_transmission'][:,1])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: invalid value encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:485: RuntimeWarning: invalid value encountered in log10
  z_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,4] / tractor['decam_mw_transmission'][:,4])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:488: RuntimeWarning: invalid value encountered in greater
I am  nid00693 rank 106 (total 192)
3363p005
  Slave nid00693 rank 106 executing "3363p005" task_id "138"
3396p000
  Slave nid00693 rank 106 executing "3396p000" task_id "329"
3428m010
  Slave nid00693 rank 106 executing "3428m010" task_id "520"
3461m002
  Slave nid00693 rank 106 executing "3461m002" task_id "711"
3491p010
  Slave nid00693 rank 106 executing "3491p010" task_id "902"
3523p000
  Slave nid00693 rank 106 executing "3523p000" task_id "1093"
3556m010
  Slave nid00693 rank 106 executing "3556m010" task_id "1284"
3586p017
  Slave nid00693 rank 106 executing "3586p017" task_id "1475"
Task completed (rank 106)
  color_sgc = (g>21.0)&(g<23.2)&(-0.068*rz+0.457<gr+0.3)&(0.112*rz+0.773>gr-0.2) &(0.218*gr+0.571<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:488: RuntimeWarning: invalid value encountered in less
  color_sgc = (g>21.0)&(g<23.2)&(-0.068*rz+0.457<gr+0.3)&(0.112*rz+0.773>gr-0.2) &(0.218*gr+0.571<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:489: RuntimeWarning: invalid value encountered in greater
  color_ngc = (g>21.0)&(g<23.2)  &(-0.068*rz+0.457<gr+0.3)&(gr-0.2< 0.112*rz+0.773) &(0.637*gr+0.399<rz+0.3)&(rz-0.3<-0.555*gr+1.901)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:489: RuntimeWarning: invalid value encountered in less
I am  nid00691 rank 43 (total 192)
3353m017
  Slave nid00691 rank 43 executing "3353m017" task_id "75"
3386m012
  Slave nid00691 rank 43 executing "3386m012" task_id "266"
3418m002
  Slave nid00691 rank 43 executing "3418m002" task_id "457"
3448p012
  Slave nid00691 rank 43 executing "3448p012" task_id "648"
3481p002
  Slave nid00691 rank 43 executing "3481p002" task_id "839"
3513m012
  Slave nid00691 rank 43 executing "3513m012" task_id "1030"
3546m002
  Slave nid00691 rank 43 executing "3546m002" task_id "1221"
3576p010
  Slave nid00691 rank 43 executing "3576p010" task_id "1412"
Task completed (rank 43)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:486: RuntimeWarning: invalid value encountered in subtract
  gr = g - r_mag
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:487: RuntimeWarning: invalid value encountered in subtract
  rz = r_mag - z_mag
I am  nid00692 rank 73 (total 192)
3358m017
  Slave nid00692 rank 73 executing "3358m017" task_id "105"
3391m012
  Slave nid00692 rank 73 executing "3391m012" task_id "296"
3423m002
  Slave nid00692 rank 73 executing "3423m002" task_id "487"
3453p012
  Slave nid00692 rank 73 executing "3453p012" task_id "678"
3486p002
  Slave nid00692 rank 73 executing "3486p002" task_id "869"
3518m012
  Slave nid00692 rank 73 executing "3518m012" task_id "1060"
3551m002
  Slave nid00692 rank 73 executing "3551m002" task_id "1251"
3581p010
  Slave nid00692 rank 73 executing "3581p010" task_id "1442"
Task completed (rank 73)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:483: RuntimeWarning: invalid value encountered in log10
  g     = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,1] / tractor['decam_mw_transmission'][:,1])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: invalid value encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:485: RuntimeWarning: invalid value encountered in log10
  z_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,4] / tractor['decam_mw_transmission'][:,4])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:488: RuntimeWarning: invalid value encountered in greater
I am  nid00692 rank 74 (total 192)
3358p000
  Slave nid00692 rank 74 executing "3358p000" task_id "106"
3391m015
  Slave nid00692 rank 74 executing "3391m015" task_id "297"
3423m005
  Slave nid00692 rank 74 executing "3423m005" task_id "488"
3453p015
  Slave nid00692 rank 74 executing "3453p015" task_id "679"
3486p005
  Slave nid00692 rank 74 executing "3486p005" task_id "870"
3518m015
  Slave nid00692 rank 74 executing "3518m015" task_id "1061"
3551m005
  Slave nid00692 rank 74 executing "3551m005" task_id "1252"
3581p012
  Slave nid00692 rank 74 executing "3581p012" task_id "1443"
Task completed (rank 74)
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:483: RuntimeWarning: invalid value encountered in log10
  g     = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,1] / tractor['decam_mw_transmission'][:,1])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:484: RuntimeWarning: invalid value encountered in log10
  r_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,2] / tractor['decam_mw_transmission'][:,2])
/global/u2/h/huikong/obiwan_codes/obiwan_Aug/obiwan_code/py/obiwan/Drones/obiwan_analysis/preprocess/collect/collect.py:485: RuntimeWarning: invalid value encountered in log10
  z_mag = 22.5 - 2.5 * n.log10(tractor['decam_flux'][:,4] / tractor['decam_mw_transmission'][:,4])
